Country	Continent	n	source	birds_category	birds_category_short	target	crops_category	Comment
USA	North America	1	finches	Fringillidae	Fringillidae	wine grapes	Fruit	
USA	North America	1	robins	Turdidae	Turdidae	wine grapes	Fruit	
USA	North America	1	starlings	Sturnidae	Sturnidae	wine grapes	Fruit	
Spain	Europe	1	monk parakeet	Psittacidae	Psittacidae	round plum	Fruit	
Spain	Europe	1	monk parakeet	Psittacidae	Psittacidae	red plum	Fruit	
Spain	Europe	1	monk parakeet	Psittacidae	Psittacidae	quinces	Fruit	
Spain	Europe	1	monk parakeet	Psittacidae	Psittacidae	persimoon	Fruit	
Spain	Europe	1	monk parakeet	Psittacidae	Psittacidae	pear	Fruit	
Australia	Australia and Oceania	1	cockatoo	Cacatuidae	Others	pear	Fruit	
India	Asia	1	rose-ringed parakeet	Psittacidae	Psittacidae	guava	Fruit	
India	Asia	1	rose-ringed parakeet	Psittacidae	Psittacidae	guava	Fruit	
Portugal	Europe	1	common pigeon	Columbidae	Columbidae	grape	Fruit	
Portugal	Europe	1	woodpigeon	Columbidae	Columbidae	grape	Fruit	
Australia	Australia and Oceania	1	crimson rosellas	Psittacidae	Psittacidae	grape	Fruit	
Portugal	Europe	1	blackbird	Turdidae	Turdidae	grape	Fruit	
USA	North America	1	blackbirds	Turdidae	Turdidae	grape	Fruit	
Australia	Australia and Oceania	1	noisy friarbirds	Meliphagidae	Others	grape	Fruit	
Australia	Australia and Oceania	1	noisy miners	Meliphagidae	Others	grape	Fruit	
Australia	Australia and Oceania	1	with red wattlebirds	Meliphagidae	Others	grape	Fruit	
Australia	Australia and Oceania	1	yellow-faced honeyeaters	Meliphagidae	Others	grape	Fruit	
Australia	Australia and Oceania	1	pied currawongs	Artamidae	Others	grape	Fruit	
Australia	Australia and Oceania	1	silvereyes	Zosteropidae	Others	grape	Fruit	
India	Asia	1	mynah	Sturnidae	Sturnidae	grape	Fruit	
Spain	Europe	1	spotless starling	Sturnidae	Sturnidae	grape	Fruit	
Australia	Australia and Oceania	1	starlings	Sturnidae	Sturnidae	grape	Fruit	
Canada	North America	1	starlings	Sturnidae	Sturnidae	grape	Fruit	
Portugal	Europe	1	house sparrow	Passeridae	Passeridae	grape	Fruit	
Greece	Europe	1	corvid	Corvidae	Corvidae	fruit	Fruit	
Greece	Europe	1	starling	Sturnidae	Sturnidae	fruit	Fruit	
Algeria	Africa	1	sparrow	Passeridae	Passeridae	date palm	Fruit	
USA	North America	1	blackbirds	Turdidae	Turdidae	cherry	Fruit	
USA	North America	1	blackbirds	Turdidae	Turdidae	cherry	Fruit	
USA	North America	1	finches	Fringillidae	Fringillidae	blueberries	Fruit	
USA	North America	1	robins	Turdidae	Turdidae	blueberries	Fruit	
USA	North America	1	starlings	Sturnidae	Sturnidae	blueberries	Fruit	
Spain	Europe	1	blackbirds	Turdidae	Turdidae	blueberries	Fruit	
Australia	Australia and Oceania	1	cockatoo	Cacatuidae	Others	apple	Fruit	
Poland	Europe	1	jackdaw	Corvidae	Corvidae	wheat	Cereals	
Poland	Europe	1	rook	Corvidae	Corvidae	wheat	Cereals	
France	Europe	1	carrion crows	Corvidae	Corvidae	wheat	Cereals	
India	Asia	1	crow	Corvidae	Corvidae	wheat	Cereals	
Poland	Europe	1	jackdaw	Corvidae	Corvidae	wheat	Cereals	
Poland	Europe	1	rook	Corvidae	Corvidae	wheat	Cereals	
France	Europe	1	rooks	Corvidae	Corvidae	wheat	Cereals	
New Zealand	Australia and Oceania	1	greenfinches	Fringillidae	Fringillidae	wheat	Cereals	
Argentina	South America	1	ashy-headed goose	Anatidae	Anatidae	wheat	Cereals	
